界	门	纲	目	科	属	种	比例	序列数量	taxid	taxname	class	中文名	致病性	可能引起的疾病	危害程度等级
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis	97.87	19841893	487	 Neisseria meningitidis	S	脑膜炎奈瑟菌	条件致病	侵袭性脑膜炎球菌病（IMD）	第三类
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	0.78	157568	485	 Neisseria gonorrhoeae	S	淋病奈瑟菌	致病	淋病	第三类
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria lactamica	0.6	120983	486	 Neisseria lactamica	S	乳糖奈瑟菌	条件致病	脑膜炎、菌血症	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria polysaccharea	0.16	32951	489	 Neisseria polysaccharea	S	多糖奈瑟菌	非致病	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria cinerea	0.11	23187	483	 Neisseria cinerea	S	灰色奈瑟菌	条件致病	婴幼儿眼部感染	-
Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	0.08	16036	9606	  Homo sapiens	S	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria subflava	0.06	11770	28449	 Neisseria subflava	S	微黄奈瑟菌	条件致病	脑膜炎、心内膜炎、菌血症	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa	0.05	10964	488	 Neisseria mucosa	S	黏膜奈瑟菌	条件致病	感染性心内膜炎、菌血症	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens	0.04	7392	484	 Neisseria flavescens	S	浅黄奈瑟菌	条件致病	感染性心内膜炎	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria elongata	0.03	6780	495	 Neisseria elongata	S	长奈瑟菌	条件致病	心内膜炎	-
