界	门	纲	目	科	属	亚种	比例	序列数量	taxid	taxname	class	中文名	致病性	可能引起的疾病	危害程度等级
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis serogroup C	81.61	16529953	135720	Neisseria meningitidis serogroup C	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis serogroup B	5.71	1156773	491	Neisseria meningitidis serogroup B	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis M01-240355	1.85	374333	935588	Neisseria meningitidis M01-240355	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis M04-240196	1.63	330507	935593	Neisseria meningitidis M04-240196	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis M0579	1.53	309394	935590	Neisseria meningitidis M0579	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis G2136	1.3	262649	935599	Neisseria meningitidis G2136	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis serogroup A	1.0	202609	65699	Neisseria meningitidis serogroup A	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis M7124	0.98	198294	1095685	Neisseria meningitidis M7124	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae MS11	0.82	166817	528354	Neisseria gonorrhoeae MS11	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis M01-240149	0.74	149694	935591	Neisseria meningitidis M01-240149	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis alpha14	0.69	140253	662598	Neisseria meningitidis alpha14	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae NCCP11945	0.46	93384	521006	Neisseria gonorrhoeae NCCP11945	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis LNP21362	0.37	75202	1386087	Neisseria meningitidis LNP21362	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria lactamica 020-06	0.34	68385	489653	Neisseria lactamica 020-06	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis WUE 2594	0.28	56051	942513	Neisseria meningitidis WUE 2594	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae NG-k51.05	0.24	48742	1247414	Neisseria gonorrhoeae NG-k51.05	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria elongata subsp. glycolytica	0.18	35600	88719	Neisseria elongata subsp. glycolytica	S1	长奈瑟菌糖酵解亚种	条件致病	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis NZ-05/33	0.15	31183	935589	Neisseria meningitidis NZ-05/33	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria sp. oral taxon 014 str. F0314	0.07	13813	641149	  Neisseria sp. oral taxon 014 str. F0314	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae FA 1090	0.02	3055	242231	Neisseria gonorrhoeae FA 1090	S1	-	-	-	-
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Candidatus Kinetoplastibacterium	Candidatus Kinetoplastibacterium galatii TCC219	0.01	1390	1208921	 Candidatus Kinetoplastibacterium galatii TCC219	S1	-	-	-	-
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae KR494	0.01	2178	1334187	Haemophilus influenzae KR494	S1	-	-	-	-
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans HK1651	0.01	1196	272556	Aggregatibacter actinomycetemcomitans HK1651	S1	-	-	-	-
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	Filifactor alocis ATCC 35896	0.0	519	546269	  Filifactor alocis ATCC 35896	S1	-	-	-	-
