毒力基因	平均深度	覆盖率	支持序列数	VFID	菌株	毒力功能	毒力机制
frpC	1032.34	0.93	45251	VF0897	Neisseria meningitidis	Might be involved in the interaction of the bacterium with the host cell surface	
frpA	1255.65	1.0	39251	VF0897	Neisseria meningitidis	Might be involved in the interaction of the bacterium with the host cell surface	
iga	948.17	1.0	42341	VF0080	Neisseria meningitidis	Interferes with the barrier functions of mucosal IgA antibodies by cleaving secretory IgA1 in the hinge region; phagosomal escape	Cleavage of IgA1 antibodies leads to separation of the F(ab) fragment, which is involved in antigen binding, from the Fc domain, which is involved in effector function. This result in the pathogen becoming decorated by IgA1 F(ab) fragments, thus masking the immunodominant epitopes that could be targets for IgG-mediated complement activation; cleavage of the phagosomal Lamp-1 protein, a major component of the lysosomal membrane, and is thought to protect the lysosomal membrane against the degradative enzymes present within the lysosome
mtrD	1159.91	1.0	30050	VF0451	Neisseria meningitidis	A tripartite multidrug efflux pump essential for resistance to beta-lactams (penicillin G and nafcillin), macrolides (erythromycin) and host-derived compounds (peptide LL-37) and progesterone, and essential for growth of gonococci in the lower genital tract of experimentally infected female mice	
mtrC	1462.18	1.0	15316	VF0451	Neisseria meningitidis	A tripartite multidrug efflux pump essential for resistance to beta-lactams (penicillin G and nafcillin), macrolides (erythromycin) and host-derived compounds (peptide LL-37) and progesterone, and essential for growth of gonococci in the lower genital tract of experimentally infected female mice	
mtrE	1310.91	1.0	15145	VF0451	Neisseria meningitidis	A tripartite multidrug efflux pump essential for resistance to beta-lactams (penicillin G and nafcillin), macrolides (erythromycin) and host-derived compounds (peptide LL-37) and progesterone, and essential for growth of gonococci in the lower genital tract of experimentally infected female mice	
tbpA	1232.31	1.0	28146	VF0046	Neisseria meningitidis	TbpA is the TonB-dependent transferrin receptor and Fe transport channel, forms complex with TbpB. TbpB is the transferrin receptor accessory lipoprotein	
tbpB	725.05	1.0	14160	VF0046	Neisseria meningitidis	TbpA is the TonB-dependent transferrin receptor and Fe transport channel, forms complex with TbpB. TbpB is the transferrin receptor accessory lipoprotein	
lbpA	1232.47	1.0	27873	VF0047	Neisseria meningitidis	LbpA is the TonB-dependent lactoferrin receptor and Fe transport channel, LbpB is lactoferrin receptor accessory lipoprotein, contributes to lactoferrin binding/use	
lbpB	454.61	0.82	10266	VF0047	Neisseria meningitidis	LbpA is the TonB-dependent lactoferrin receptor and Fe transport channel, LbpB is lactoferrin receptor accessory lipoprotein, contributes to lactoferrin binding/use	
pilC	954.39	1.0	27094	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilC	876.65	1.0	23867	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
pilQ	1049.03	1.0	20007	VF0075	Neisseria meningitidis	Necessary for initial attachment, twitching motility and competence for natural transformation and autoagglutination	The membrane co-factor protein (MCP or CD46) has been proposed as a cellular receptor for pilus of both pathogenic Neisseria. CD46 is a transmembrane C3b/C4b-binding glycoprotein which functions to control the activation state and deposition of complement, and thereby protects host cells from damage caused by the human complement system
