chrom	length	bases	mean	min	max
card~~~APH(3')-Ia~~~BX664015.1:103833-103017~~~aminoglycoside	816	129	0.16	0	1
card~~~APH(3')-Ia~~~BX664015.1:103833-103017~~~aminoglycoside_region	816	129	0.16	0	1
card~~~Acinetobacter_baumannii_AmvA~~~FJ911554.1:176-1655~~~disinfecting_agents_and_antiseptics;macrolide	1479	132	0.09	0	1
card~~~Acinetobacter_baumannii_AmvA~~~FJ911554.1:176-1655~~~disinfecting_agents_and_antiseptics;macrolide_region	1479	132	0.09	0	1
card~~~Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin~~~NC_008618.1:1670624-1667063~~~rifamycin	3561	8093	2.27	0	225
card~~~Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin~~~NC_008618.1:1670624-1667063~~~rifamycin_region	3561	8093	2.27	0	225
card~~~ErmC~~~M12730.1:779-1514~~~lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B	735	2856	3.89	0	10
card~~~ErmC~~~M12730.1:779-1514~~~lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B_region	735	2856	3.89	0	10
card~~~TEM-242~~~NG_065939.1:0-861~~~cephalosporin;monobactam;penicillin_beta-lactam	861	133	0.15	0	1
card~~~TEM-242~~~NG_065939.1:0-861~~~cephalosporin;monobactam;penicillin_beta-lactam_region	861	133	0.15	0	1
card~~~emrA~~~AP009048.1:2810082-2811255~~~fluoroquinolone	1173	506	0.43	0	2
card~~~emrA~~~AP009048.1:2810082-2811255~~~fluoroquinolone_region	1173	506	0.43	0	2
card~~~farA~~~AE002098.2:329612-330767~~~antibacterial_free_fatty_acids	1155	1469035	1271.89	1004	1567
card~~~farA~~~AE002098.2:329612-330767~~~antibacterial_free_fatty_acids_region	1155	1469035	1271.89	1004	1567
card~~~farB~~~AE002098.2:330790-332317~~~antibacterial_free_fatty_acids	1527	1780747	1166.17	662	1628
card~~~farB~~~AE002098.2:330790-332317~~~antibacterial_free_fatty_acids_region	1527	1780747	1166.17	662	1628
card~~~macA~~~AY768531.1:0-1179~~~macrolide	1179	1051541	891.89	385	1115
card~~~macA~~~AY768531.1:0-1179~~~macrolide_region	1179	1051541	891.89	385	1115
card~~~macB~~~AY768532.1:0-1935~~~macrolide	1935	2068640	1069.06	659	1402
card~~~macB~~~AY768532.1:0-1935~~~macrolide_region	1935	2068640	1069.06	659	1402
card~~~mtrA~~~AF128627.1:0-906~~~macrolide	906	1192477	1316.20	557	1769
card~~~mtrA~~~AF128627.1:0-906~~~macrolide_region	906	1192477	1316.20	557	1769
card~~~mtrC~~~AE002098.2:1796420-1795181~~~macrolide	1239	1811645	1462.18	904	2256
card~~~mtrC~~~AE002098.2:1796420-1795181~~~macrolide_region	1239	1811645	1462.18	904	2256
card~~~mtrD~~~AE002098.2:1795170-1791966~~~macrolide	3204	3715945	1159.78	755	1816
card~~~mtrD~~~AE002098.2:1795170-1791966~~~macrolide_region	3204	3715945	1159.78	755	1816
card~~~mtrE~~~X95635.1:259-1663~~~macrolide	1404	1754208	1249.44	14	1576
card~~~mtrE~~~X95635.1:259-1663~~~macrolide_region	1404	1754208	1249.44	14	1576
card~~~rmtB~~~AM886293.1:116479-117235~~~aminoglycoside	756	140	0.19	0	1
card~~~rmtB~~~AM886293.1:116479-117235~~~aminoglycoside_region	756	140	0.19	0	1
card~~~tet(B)~~~AB089595.1:0-1206~~~tetracycline	1206	13744	11.40	0	28
card~~~tet(B)~~~AB089595.1:0-1206~~~tetracycline_region	1206	13744	11.40	0	28
total	23136	14869971	642.72	0	2256
total_region	23136	14869971	642.72	0	2256
