#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
Men-IGT.final.fasta	contig_103	1	846	+	fHbp	133-963/963	.=======/======	1/15	86.29	95.03	vfdb	WP_010981001	(fHbp) factor H binding protein  [FHbp (VF0452) - Immune modulation (VFC0258)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_119	1	2435	-	lbpA	19-2453/2832	========/=====.	3/12	85.77	94.92	vfdb	WP_002247545	(lbpA) lactoferrin-binding protein A [Lbp (VF0047) - Nutritional/Metabolic factor (VFC0272)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_119	2500	4428	-	lbpB	188-2059/2214	.=======/======	18/111	83.33	78.83	vfdb	WP_002225048	(lbpB) lactoferrin-binding protein B [Lbp (VF0047) - Nutritional/Metabolic factor (VFC0272)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_131	2647	3283	-	siaD/synD	8-644/645	========/======	11/18	97.36	71.21	vfdb		(siaD/synD) polysialic acid capsule biosynthesis protein SiaD; disrupted by foreign ermC cassette [Capsule (VF0079) - Immune modulation (VFC0258)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_131	3370	4149	-	siaC/synC	271-1050/1050	...============	0/0	74.29	99.74	vfdb	WP_002215299	(siaC/synC) polysialic acid capsule biosynthesis protein SiaC [Capsule (VF0079) - Immune modulation (VFC0258)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_135	618	1142	-	nspA	1-525/525	===============	0/0	100.00	99.24	vfdb	WP_002225511	(nspA) neisserial surface protein A [NspA (VF0453) - Immune modulation (VFC0258)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_136	2867	3910	+	pilT	1-1044/1044	===============	0/0	100.00	99.33	vfdb	WP_002218487	(pilT) twitching motility protein PilT [Type IV pili (VF0075) - Adherence (VFC0001)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_146	832	1650	+	opc	1-819/819	===============	0/0	100.00	99.76	vfdb	WP_002222545	(opc) class 5 outer membrane protein [Opc (VF0077) - Invasion (VFC0083)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_159	561	3645	-	pilC	12-3091/3091	========/======	12/55	98.84	88.58	vfdb		(pilC) pilus assembly protein [Type IV pili (VF0075) - Adherence (VFC0001)] [Neisseria meningitidis MC58]	
Men-IGT.final.fasta	contig_166	302	3544	-	iga	167-3400/5448	========/=.....	22/91	58.61	87.27	vfdb	WP_002225480	(iga) IgA-specific serine endopeptidase [IgA1 protease (VF0080) - Effector delivery system (VFC0086)] [Neisseria meningitidis MC58]	
