locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCEDHOCC_00001	gene	558				
LCEDHOCC_00001	CDS	558				hypothetical protein
LCEDHOCC_00002	gene	1392	alsT_1			
LCEDHOCC_00002	CDS	1392	alsT_1		COG1115	Amino-acid carrier protein AlsT
LCEDHOCC_00003	gene	777	lpxA			
LCEDHOCC_00003	CDS	777	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
LCEDHOCC_00004	gene	450	fabZ			
LCEDHOCC_00004	CDS	450	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
LCEDHOCC_00005	gene	1047	lpxD			
LCEDHOCC_00005	CDS	1047	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
LCEDHOCC_00006	gene	501				
LCEDHOCC_00006	CDS	501				hypothetical protein
LCEDHOCC_00007	gene	2394	bamA			
LCEDHOCC_00007	CDS	2394	bamA		COG4775	Outer membrane protein assembly factor BamA
LCEDHOCC_00008	gene	1341	rseP			
LCEDHOCC_00008	CDS	1341	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
LCEDHOCC_00009	gene	1236	dxr			
LCEDHOCC_00009	CDS	1236	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
LCEDHOCC_00010	gene	798	cdsA			
LCEDHOCC_00010	CDS	798	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
LCEDHOCC_00011	gene	747	ispU			
LCEDHOCC_00011	CDS	747	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
LCEDHOCC_00012	gene	558	frr			
LCEDHOCC_00012	CDS	558	frr		COG0233	Ribosome-recycling factor
LCEDHOCC_00013	gene	1128	yeeA			
LCEDHOCC_00013	CDS	1128	yeeA		COG1289	Inner membrane protein YeeA
LCEDHOCC_00014	gene	76				
LCEDHOCC_00014	tRNA	76				tRNA-Thr(cgt)
LCEDHOCC_00015	gene	486				
LCEDHOCC_00015	CDS	486				hypothetical protein
LCEDHOCC_00016	gene	624	rsmG			
LCEDHOCC_00016	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
LCEDHOCC_00017	gene	774	soj			
LCEDHOCC_00017	CDS	774	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
LCEDHOCC_00018	gene	165	rnhB			
LCEDHOCC_00018	CDS	165	rnhB	3.1.26.4	COG0164	Ribonuclease HII
LCEDHOCC_00019	gene	2664	aceE			
LCEDHOCC_00019	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
LCEDHOCC_00020	gene	1713	proS			
LCEDHOCC_00020	CDS	1713	proS	6.1.1.15	COG0442	Proline--tRNA ligase
LCEDHOCC_00021	gene	657	ycgM			
LCEDHOCC_00021	CDS	657	ycgM		COG0179	putative protein YcgM
LCEDHOCC_00022	gene	456	yqgF			
LCEDHOCC_00022	CDS	456	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
LCEDHOCC_00023	gene	549				
LCEDHOCC_00023	CDS	549				hypothetical protein
LCEDHOCC_00024	gene	561				
LCEDHOCC_00024	CDS	561				hypothetical protein
LCEDHOCC_00025	gene	1791				
LCEDHOCC_00025	CDS	1791			COG4942	putative protein
LCEDHOCC_00026	gene	1485				
LCEDHOCC_00026	CDS	1485				hypothetical protein
LCEDHOCC_00027	gene	2028	uvrB			
LCEDHOCC_00027	CDS	2028	uvrB		COG0556	UvrABC system protein B
LCEDHOCC_00028	gene	288				
LCEDHOCC_00028	CDS	288				hypothetical protein
LCEDHOCC_00029	gene	717	trmB_1			
LCEDHOCC_00029	CDS	717	trmB_1	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
LCEDHOCC_00030	gene	1404				
LCEDHOCC_00030	CDS	1404			COG0790	putative protein
LCEDHOCC_00031	gene	396				
LCEDHOCC_00031	CDS	396				hypothetical protein
LCEDHOCC_00032	gene	762				
LCEDHOCC_00032	CDS	762				hypothetical protein
LCEDHOCC_00033	gene	1095	rlmN			
LCEDHOCC_00033	CDS	1095	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
LCEDHOCC_00034	gene	426	ndk			
LCEDHOCC_00034	CDS	426	ndk	2.7.4.6		Nucleoside diphosphate kinase
LCEDHOCC_00035	gene	1152	zapE			
LCEDHOCC_00035	CDS	1152	zapE		COG1485	Cell division protein ZapE
LCEDHOCC_00036	gene	828				
LCEDHOCC_00036	CDS	828		3.1.2.12	COG0627	S-formylglutathione hydrolase
LCEDHOCC_00037	gene	1137	frmA			
LCEDHOCC_00037	CDS	1137	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
LCEDHOCC_00038	gene	408				
LCEDHOCC_00038	CDS	408			COG0789	putative HTH-type transcriptional regulator
LCEDHOCC_00039	gene	315	ihfB			
LCEDHOCC_00039	CDS	315	ihfB		COG0776	Integration host factor subunit beta
LCEDHOCC_00040	gene	1686	rpsA			
LCEDHOCC_00040	CDS	1686	rpsA		COG0539	30S ribosomal protein S1
LCEDHOCC_00041	gene	657	cmk			
LCEDHOCC_00041	CDS	657	cmk	2.7.4.25	COG0283	Cytidylate kinase
LCEDHOCC_00042	gene	171				
LCEDHOCC_00042	CDS	171				hypothetical protein
LCEDHOCC_00043	gene	645				
LCEDHOCC_00043	CDS	645				hypothetical protein
LCEDHOCC_00044	gene	246				
LCEDHOCC_00044	CDS	246				hypothetical protein
LCEDHOCC_00045	gene	771	rsuA			
LCEDHOCC_00045	CDS	771	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
LCEDHOCC_00046	gene	1977				
LCEDHOCC_00046	CDS	1977				hypothetical protein
LCEDHOCC_00047	gene	1395	speE_1			
LCEDHOCC_00047	CDS	1395	speE_1	2.5.1.16		Polyamine aminopropyltransferase
LCEDHOCC_00048	gene	357	ndhC			
LCEDHOCC_00048	CDS	357	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
LCEDHOCC_00049	gene	483	nuoB			
LCEDHOCC_00049	CDS	483	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
LCEDHOCC_00050	gene	594	ndhJ			
LCEDHOCC_00050	CDS	594	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
LCEDHOCC_00051	gene	1257	nuoD			
LCEDHOCC_00051	CDS	1257	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
LCEDHOCC_00052	gene	441				
LCEDHOCC_00052	CDS	441				hypothetical protein
LCEDHOCC_00053	gene	474	nqo2			
LCEDHOCC_00053	CDS	474	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit 2
LCEDHOCC_00054	gene	1302	nuoF			
LCEDHOCC_00054	CDS	1302	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
LCEDHOCC_00055	gene	375				
LCEDHOCC_00055	CDS	375				hypothetical protein
LCEDHOCC_00056	gene	312				
LCEDHOCC_00056	CDS	312				hypothetical protein
LCEDHOCC_00057	gene	2262	nqo3			
LCEDHOCC_00057	CDS	2262	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
LCEDHOCC_00058	gene	1077	nuoH			
LCEDHOCC_00058	CDS	1077	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
LCEDHOCC_00059	gene	480	nuoI			
LCEDHOCC_00059	CDS	480	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
LCEDHOCC_00060	gene	672				
LCEDHOCC_00060	CDS	672				hypothetical protein
LCEDHOCC_00061	gene	306	nuoK			
LCEDHOCC_00061	CDS	306	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
LCEDHOCC_00062	gene	546				
LCEDHOCC_00062	CDS	546		2.7.7.-	COG2184	Protein adenylyltransferase NmFic
LCEDHOCC_00063	gene	339				
LCEDHOCC_00063	CDS	339				hypothetical protein
LCEDHOCC_00064	gene	1887	uvrC			
LCEDHOCC_00064	CDS	1887	uvrC		COG0322	UvrABC system protein C
