chrom	length	bases	mean	min	max
contig_1	18127	22830818	1259.49	250	3228
contig_1_region	18127	22830818	1259.49	0	3228
contig_2	16601	18128315	1092.00	234	2085
contig_2_region	16601	18128315	1092.00	234	2085
contig_3	16140	17389748	1077.43	440	1705
contig_3_region	16140	17389748	1077.43	440	1705
contig_4	14764	18846068	1276.49	186	2448
contig_4_region	14764	18846068	1276.49	186	2448
contig_5	14726	16033679	1088.80	375	2281
contig_5_region	14726	16033679	1088.80	375	2281
contig_6	12713	15574169	1225.06	303	5838
contig_6_region	12713	15574169	1225.06	303	5838
contig_7	12445	18347148	1474.26	223	9376
contig_7_region	12445	18347148	1474.26	223	9376
contig_8	12298	14355252	1167.28	232	3559
contig_8_region	12298	14355252	1167.28	232	3559
contig_9	11927	18549506	1555.25	245	12351
contig_9_region	11927	18549506	1555.25	245	12351
contig_10	11376	11969155	1052.14	575	1602
contig_10_region	11376	11969155	1052.14	575	1602
contig_11	10968	11573686	1055.22	230	1806
contig_11_region	10968	11573686	1055.22	230	1806
contig_12	10781	14586840	1353.01	395	2185
contig_12_region	10781	14586840	1353.01	395	2185
contig_13	9737	9385414	963.89	168	1787
contig_13_region	9737	9385414	963.89	168	1787
contig_14	9140	10424991	1140.59	350	3605
contig_14_region	9140	10424991	1140.59	350	3605
contig_15	9078	11653948	1283.76	350	12098
contig_15_region	9078	11653948	1283.76	350	12098
contig_16	9021	10027679	1111.59	417	1745
contig_16_region	9021	10027679	1111.59	417	1745
contig_17	8960	9632270	1075.03	294	1801
contig_17_region	8960	9632270	1075.03	294	1801
contig_18	8812	10185337	1155.85	667	4533
contig_18_region	8812	10185337	1155.85	667	4533
contig_19	8727	14979661	1716.47	532	3191
contig_19_region	8727	14979661	1716.47	532	3191
contig_20	8515	7415985	870.93	329	1675
contig_20_region	8515	7415985	870.93	329	1675
contig_21	8353	5281993	632.35	260	1763
contig_21_region	8353	5281993	632.35	260	1763
contig_22	8223	9389787	1141.89	261	5002
contig_22_region	8223	9389787	1141.89	261	5002
contig_23	8175	8231230	1006.88	221	1630
contig_23_region	8175	8231230	1006.88	221	1630
contig_24	7939	13244957	1668.34	439	6842
contig_24_region	7939	13244957	1668.34	439	6842
contig_25	7495	9752035	1301.14	293	1913
contig_25_region	7495	9752035	1301.14	293	1913
contig_26	7484	8261040	1103.83	109	1713
contig_26_region	7484	8261040	1103.83	109	1713
contig_27	7429	7525679	1013.01	395	1852
contig_27_region	7429	7525679	1013.01	395	1852
contig_28	7424	8818315	1187.81	621	1804
contig_28_region	7424	8818315	1187.81	621	1804
contig_29	7372	2490488	337.83	82	931
contig_29_region	7372	2490488	337.83	82	931
contig_30	7356	7830373	1064.49	369	2108
contig_30_region	7356	7830373	1064.49	369	2108
contig_31	7182	7558816	1052.47	487	1603
contig_31_region	7182	7558816	1052.47	487	1603
contig_32	7173	8242475	1149.10	236	1782
contig_32_region	7173	8242475	1149.10	236	1782
contig_33	7160	7961558	1111.95	218	1743
contig_33_region	7160	7961558	1111.95	218	1743
contig_34	7088	7856277	1108.39	519	1734
contig_34_region	7088	7856277	1108.39	519	1734
contig_35	6993	6721338	961.15	151	2475
contig_35_region	6993	6721338	961.15	151	2475
contig_36	6973	8341285	1196.23	342	2798
contig_36_region	6973	8341285	1196.23	342	2798
contig_37	6899	5338487	773.81	129	1276
contig_37_region	6899	5338487	773.81	129	1276
contig_38	6883	7530502	1094.07	279	1681
