chrom	length	bases	mean	min	max
vfdb~~~LPG_RS06765~~~WP_011213649~~~	1089	28	0.03	0	1
vfdb~~~LPG_RS06765~~~WP_011213649~~~_region	1089	28	0.03	0	1
vfdb~~~ata~~~WP_001045628~~~	5589	127	0.02	0	1
vfdb~~~ata~~~WP_001045628~~~_region	5589	127	0.02	0	1
vfdb~~~bplL~~~WP_010929608~~~	1875	127	0.07	0	2
vfdb~~~bplL~~~WP_010929608~~~_region	1875	127	0.07	0	2
vfdb~~~ctrA~~~WP_002215290~~~	1176	1382075	1175.23	653	1512
vfdb~~~ctrA~~~WP_002215290~~~_region	1176	1382075	1175.23	653	1512
vfdb~~~ctrB~~~WP_002215287~~~	1164	1295579	1113.04	718	1553
vfdb~~~ctrB~~~WP_002215287~~~_region	1164	1295579	1113.04	718	1553
vfdb~~~ctrC~~~WP_002215286~~~	798	972171	1218.26	32	1550
vfdb~~~ctrC~~~WP_002215286~~~_region	798	972171	1218.26	32	1550
vfdb~~~ctrD~~~WP_002224750~~~	651	657034	1009.27	539	1286
vfdb~~~ctrD~~~WP_002224750~~~_region	651	657034	1009.27	539	1286
vfdb~~~fHbp~~~WP_010981001~~~	963	578818	601.06	313	1232
vfdb~~~fHbp~~~WP_010981001~~~_region	963	578818	601.06	313	1232
vfdb~~~farA~~~WP_002224866~~~	1155	1468997	1271.86	1004	1567
vfdb~~~farA~~~WP_002224866~~~_region	1155	1468997	1271.86	1004	1567
vfdb~~~farB~~~WP_002224867~~~	1527	1780747	1166.17	662	1628
vfdb~~~farB~~~WP_002224867~~~_region	1527	1780747	1166.17	662	1628
vfdb~~~fbpA~~~WP_002214250~~~	996	1128320	1132.85	842	1433
vfdb~~~fbpA~~~WP_002214250~~~_region	996	1128320	1132.85	842	1433
vfdb~~~fbpB~~~WP_002214251~~~	1518	2104854	1386.60	906	1759
vfdb~~~fbpB~~~WP_002214251~~~_region	1518	2104854	1386.60	906	1759
vfdb~~~fbpC~~~WP_002219640~~~	1059	1269650	1198.91	790	1555
vfdb~~~fbpC~~~WP_002219640~~~_region	1059	1269650	1198.91	790	1555
vfdb~~~frpA~~~WP_010980816~~~	3909	4908338	1255.65	547	2851
vfdb~~~frpA~~~WP_010980816~~~_region	3909	4908338	1255.65	547	2851
vfdb~~~frpC~~~WP_010980934~~~	5490	5667562	1032.34	0	2572
vfdb~~~frpC~~~WP_010980934~~~_region	5490	5667562	1032.34	0	2572
vfdb~~~hap~~~AAB03707~~~	4182	141742	33.89	0	893
vfdb~~~hap~~~AAB03707~~~_region	4182	141742	33.89	0	893
vfdb~~~hmbR~~~WP_002222141~~~	2376	139928	58.89	0	1089
vfdb~~~hmbR~~~WP_002222141~~~_region	2376	139928	58.89	0	1089
vfdb~~~hpuA~~~WP_002225846~~~	1074	22096	20.57	0	49
vfdb~~~hpuA~~~WP_002225846~~~_region	1074	22096	20.57	0	49
vfdb~~~hpuB~~~WP_010981084~~~	2433	94470	38.83	0	80
vfdb~~~hpuB~~~WP_010981084~~~_region	2433	94470	38.83	0	80
vfdb~~~iga~~~WP_002225480~~~	5448	5165627	948.17	267	1891
vfdb~~~iga~~~WP_002225480~~~_region	5448	5165627	948.17	267	1891
vfdb~~~katA~~~WP_002218620~~~	1515	1985688	1310.69	116	1749
vfdb~~~katA~~~WP_002218620~~~_region	1515	1985688	1310.69	116	1749
vfdb~~~kdtA/waaA~~~WP_002225758~~~	1272	1430197	1124.37	405	1790
vfdb~~~kdtA/waaA~~~WP_002225758~~~_region	1272	1430197	1124.37	405	1790
vfdb~~~lbpA~~~WP_002247545~~~	2832	3490349	1232.47	299	1704
vfdb~~~lbpA~~~WP_002247545~~~_region	2832	3490349	1232.47	299	1704
vfdb~~~lbpB~~~WP_002225048~~~	2214	1006500	454.61	0	1283
vfdb~~~lbpB~~~WP_002225048~~~_region	2214	1006500	454.61	0	1283
vfdb~~~lgtA~~~WP_002257440~~~	1050	1238240	1179.28	10	2586
vfdb~~~lgtA~~~WP_002257440~~~_region	1050	1238240	1179.28	10	2586
vfdb~~~lgtB~~~WP_002225824~~~	828	1050537	1268.76	927	1624
vfdb~~~lgtB~~~WP_002225824~~~_region	828	1050537	1268.76	927	1624
vfdb~~~lgtC~~~WP_010868968~~~	993	42	0.04	0	1
vfdb~~~lgtC~~~WP_010868968~~~_region	993	42	0.04	0	1
vfdb~~~lgtE~~~WP_002225823~~~	843	874076	1036.86	353	1594
vfdb~~~lgtE~~~WP_002225823~~~_region	843	874076	1036.86	353	1594
vfdb~~~lgtF~~~WP_002224973~~~	759	689905	908.97	678	1080
vfdb~~~lgtF~~~WP_002224973~~~_region	759	689905	908.97	678	1080
vfdb~~~lgtG~~~~~~	1054	17069	16.19	0	56
vfdb~~~lgtG~~~~~~_region	1054	17069	16.19	0	56
