序列名称	序列长度	平均深度	是否成环	基因组/质粒	质粒分型	物种名称	毒力基因数量	毒力基因	耐药基因数量	耐药基因
contig_1	18127	1233.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_2	16601	1094.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_3	16140	1076.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	1	pilW	0	-
contig_4	14764	1273.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_5	14726	1086.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_6	12713	1235.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_7	12445	1447.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_8	12298	1198.0	-	unclassified.unclassified	-	Neisseria meningitidis M0579	0	-	0	-
contig_9	11927	1552.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	tufA	0	-
contig_10	11376	1033.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_11	10968	1056.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_12	10781	1351.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_13	9737	950.0	-	plasmid.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_14	9140	1132.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_15	9078	1220.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_16	9021	1094.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_17	8960	1075.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_18	8812	1159.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_19	8727	1721.0	-	plasmid.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_20	8515	907.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	fHbp	0	-
contig_21	8353	689.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_22	8223	1113.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_23	8175	1006.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_24	7939	1664.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_25	7495	1304.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_26	7484	1112.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_27	7429	987.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_28	7424	1189.0	-	chromosome.unclassified	-	Neisseria meningitidis 8013	0	-	0	-
contig_29	7372	365.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_30	7356	1052.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
