染色体	类型	起始位置	终止位置	链方向	基因名称	locus标签
contig_1	gene	291	848	+	-	LCEDHOCC_00001_gene
contig_1	CDS	291	848	+	-	LCEDHOCC_00001
contig_1	gene	942	2333	-	alsT_1	LCEDHOCC_00002_gene
contig_1	CDS	942	2333	-	alsT_1	LCEDHOCC_00002
contig_1	gene	2690	3466	-	lpxA	LCEDHOCC_00003_gene
contig_1	CDS	2690	3466	-	lpxA	LCEDHOCC_00003
contig_1	gene	3553	4002	-	fabZ	LCEDHOCC_00004_gene
contig_1	CDS	3553	4002	-	fabZ	LCEDHOCC_00004
contig_1	gene	4036	5082	-	lpxD	LCEDHOCC_00005_gene
contig_1	CDS	4036	5082	-	lpxD	LCEDHOCC_00005
contig_1	gene	5115	5615	-	-	LCEDHOCC_00006_gene
contig_1	CDS	5115	5615	-	-	LCEDHOCC_00006
contig_1	gene	5681	8074	-	bamA	LCEDHOCC_00007_gene
contig_1	CDS	5681	8074	-	bamA	LCEDHOCC_00007
contig_1	gene	8129	9469	-	rseP	LCEDHOCC_00008_gene
contig_1	CDS	8129	9469	-	rseP	LCEDHOCC_00008
contig_1	gene	9504	10739	-	dxr	LCEDHOCC_00009_gene
contig_1	CDS	9504	10739	-	dxr	LCEDHOCC_00009
contig_1	gene	10744	11541	-	cdsA	LCEDHOCC_00010_gene
contig_1	CDS	10744	11541	-	cdsA	LCEDHOCC_00010
contig_1	gene	11544	12290	-	ispU	LCEDHOCC_00011_gene
contig_1	CDS	11544	12290	-	ispU	LCEDHOCC_00011
contig_1	gene	12346	12903	-	frr	LCEDHOCC_00012_gene
contig_1	CDS	12346	12903	-	frr	LCEDHOCC_00012
contig_1	gene	13083	14210	-	yeeA	LCEDHOCC_00013_gene
contig_1	CDS	13083	14210	-	yeeA	LCEDHOCC_00013
contig_1	gene	14286	14361	-	-	LCEDHOCC_00014_gene
contig_1	tRNA	14286	14361	-	-	LCEDHOCC_00014
contig_1	gene	14621	15106	+	-	LCEDHOCC_00015_gene
contig_1	CDS	14621	15106	+	-	LCEDHOCC_00015
contig_1	gene	15202	15825	+	rsmG	LCEDHOCC_00016_gene
contig_1	CDS	15202	15825	+	rsmG	LCEDHOCC_00016
contig_1	gene	15924	16697	+	soj	LCEDHOCC_00017_gene
contig_1	CDS	15924	16697	+	soj	LCEDHOCC_00017
contig_1	gene	17951	18115	-	rnhB	LCEDHOCC_00018_gene
contig_1	CDS	17951	18115	-	rnhB	LCEDHOCC_00018
contig_2	gene	209	2872	-	aceE	LCEDHOCC_00019_gene
contig_2	CDS	209	2872	-	aceE	LCEDHOCC_00019
contig_2	gene	3566	5278	+	proS	LCEDHOCC_00020_gene
contig_2	CDS	3566	5278	+	proS	LCEDHOCC_00020
contig_2	gene	5341	5997	+	ycgM	LCEDHOCC_00021_gene
contig_2	CDS	5341	5997	+	ycgM	LCEDHOCC_00021
contig_2	gene	6007	6462	-	yqgF	LCEDHOCC_00022_gene
contig_2	CDS	6007	6462	-	yqgF	LCEDHOCC_00022
contig_2	gene	6455	7003	-	-	LCEDHOCC_00023_gene
contig_2	CDS	6455	7003	-	-	LCEDHOCC_00023
contig_2	gene	7005	7565	-	-	LCEDHOCC_00024_gene
contig_2	CDS	7005	7565	-	-	LCEDHOCC_00024
contig_2	gene	7893	9683	+	-	LCEDHOCC_00025_gene
contig_2	CDS	7893	9683	+	-	LCEDHOCC_00025
contig_2	gene	9810	11294	+	-	LCEDHOCC_00026_gene
contig_2	CDS	9810	11294	+	-	LCEDHOCC_00026
contig_2	gene	11623	13650	+	uvrB	LCEDHOCC_00027_gene
contig_2	CDS	11623	13650	+	uvrB	LCEDHOCC_00027
contig_2	gene	13762	14049	+	-	LCEDHOCC_00028_gene
