	contig_id	contig_name	contig_length	id	label	chromosome.Acidobacteria	chromosome.Actinobacteria	chromosome.Bacteroidetes	chromosome.Chlamydiae	chromosome.Chlorobi	chromosome.Chloroflexi	chromosome.Cyanobacteria	chromosome.DeinococcusThermus	chromosome.Firmicutes	chromosome.Fusobacteria	chromosome.Nitrospirae	chromosome.other	chromosome.Planctomycetes	chromosome.Proteobacteria	chromosome.Spirochaetes	chromosome.Tenericutes	chromosome.Thermotogae	chromosome.Verrucomicrobia	plasmid.Actinobacteria	plasmid.Bacteroidetes	plasmid.Chlamydiae	plasmid.Cyanobacteria	plasmid.DeinococcusThermus	plasmid.Firmicutes	plasmid.Fusobacteria	plasmid.other	plasmid.Proteobacteria	plasmid.Spirochaetes
0	0	contig_1	18127	13	chromosome.Proteobacteria	0.02253267727792263	0.03841019049286842	0.003941055852919817	7.400935282930732e-05	0.02797180414199829	0.021936962381005287	2.5698529952933313e-06	0.0001453185104764998	0.00012171641719760373	1.940465836014482e-06	0.0014193546958267689	0.0055559612810611725	8.190437074517831e-05	0.7547204494476318	0.004525123164057732	7.832233528404231e-09	2.1411729903775267e-05	0.008260435424745083	5.06150936416816e-05	0.0010239616967737675	2.101885684169247e-06	3.8822531678306405e-06	6.7044220486423e-06	1.0315762892787461e-06	6.163154466776177e-06	0.00021876995742786676	0.10896385461091995	2.8685915864912204e-09
1	1	contig_2	16601	2	chromosome.unclassified	0.00599442794919014	0.0383426696062088	0.2355649471282959	0.0005878410302102566	0.1192912831902504	0.004418541211634874	2.9403847179310105e-07	0.0001382976333843544	0.011412416584789753	0.00012633668666239828	0.007975813932716846	0.14608760178089142	3.9814956835471094e-05	0.11730190366506577	0.12064855545759201	6.518692430290685e-08	0.001983559923246503	0.015312387607991695	5.170035706214549e-07	0.0655999481678009	7.370466846623458e-06	7.98582505012746e-07	4.225060820317594e-06	3.0490349672618322e-05	0.000179786526132375	0.00034889555536210537	0.1086011528968811	6.880627267946693e-08
2	2	contig_3	16140	13	chromosome.Proteobacteria	0.004287593998014927	0.010091532953083515	0.0017437721835449338	6.203958037076518e-05	0.020732151344418526	0.023500554263591766	1.794361764950736e-06	9.37762888497673e-05	6.697588105453178e-06	5.543446377487271e-07	9.63213897193782e-05	0.0015467595076188445	1.0273050975229125e-05	0.9227595329284668	0.004136811941862106	3.7587786216874974e-09	1.0286053111485671e-05	0.0026078291703015566	7.040072887321003e-06	0.00016334501560777426	6.724341687913693e-07	7.209900559246307e-06	8.210169539779599e-07	5.093325228244794e-08	1.2220460803291644e-06	2.5546158212819137e-05	0.008105874061584473	3.992476071967843e-10
3	3	contig_4	14764	2	chromosome.unclassified	0.0013027624227106571	0.009614870883524418	0.5098945498466492	0.000146315767779015	0.05276648700237274	0.0029050782322883606	1.5142161657877296e-07	6.802824646001682e-05	0.0005156447878107429	1.8215805539512075e-05	0.00047242105938494205	0.014350801706314087	5.371192401071312e-06	0.32619932293891907	0.03687902167439461	3.0093577407797056e-08	0.00029284239280968904	0.0023872789461165667	8.524588679392764e-07	0.041323985904455185	1.637550667510368e-06	3.7645318684553786e-07	1.0906227316809236e-06	1.183848326036241e-06	2.9253356842673384e-05	2.67154482571641e-05	0.0007956335903145373	1.1475180805575746e-08
4	4	contig_5	14726	13	chromosome.Proteobacteria	0.0010679991682991385	0.007030842360109091	0.0011581097496673465	2.9250355510157533e-05	0.007782377302646637	0.006472383160144091	9.331151318292541e-07	0.00010910080891335383	1.7752276107785292e-05	9.557593330100644e-07	8.808670827420428e-05	0.0009087343350984156	6.298066637100419e-06	0.9674386978149414	0.003947725519537926	1.139946448347473e-08	4.555633040581597e-06	0.0012401459971442819	2.8497208859334933e-06	0.00015770083700772375	2.905578639911255e-07	1.2363451560304384e-06	1.0385909945398453e-06	1.0827431395910025e-08	1.315959252679022e-06	1.0797987670230214e-05	0.002520856447517872	1.880978706125802e-09
5	5	contig_6	12713	13	chromosome.Proteobacteria	0.0006714172195643187	0.0170435830950737	0.01850586012005806	0.0009729789453558624	0.011335324496030807	0.0012606020318344235	3.70982411368459e-06	1.8745158740784973e-05	0.15345963835716248	8.648970833746716e-05	0.0017697307048365474	0.014525975100696087	7.458249456249177e-05	0.7112598419189453	0.004141372162848711	6.287316409725463e-06	0.00032629104680381715	0.007850317284464836	1.0280725291522685e-05	0.022098049521446228	1.0810627827595454e-05	5.1229962991783395e-06	7.286462277988903e-07	0.0008290436235256493	8.453962072962895e-05	0.00032750307582318783	0.03332111984491348	3.1124656185710364e-09
6	6	contig_7	12445	13	chromosome.Proteobacteria	0.0010353834368288517	0.0013571480521932244	5.6988534197444096e-05	8.159855497069657e-05	0.00680543901398778	0.0054450626485049725	3.0821274776826613e-06	2.7857122404384427e-05	1.4977607634136803e-06	4.052719475566846e-07	0.00022428309603128582	0.0007492119912058115	1.6494415831402875e-05	0.8205318450927734	0.0011424320982769132	6.541257757675112e-09	4.593706307787215e-06	0.0027423046994954348	7.051794455037452e-06	8.383329259231687e-05	1.5011837604106404e-06	1.2006102224404458e-05	8.555628596695897e-07	2.0665250133333757e-07	1.0698536243580747e-06	7.996593922143802e-05	0.15958784520626068	1.7015349129678725e-09
7	7	contig_8	12298	2	unclassified.unclassified	6.528899393742904e-05	2.670671347004827e-05	0.20310848951339722	0.004627474118024111	0.011372084729373455	0.0019357119454070926	6.010148717905395e-05	1.5792633121236577e-06	0.12246093153953552	0.00047969314618967474	0.001965500181540847	0.002422105520963669	3.0592400435125455e-05	0.22561371326446533	0.001072028069756925	9.339866664959118e-05	0.001071596285328269	0.002278129570186138	4.702314697624388e-07	0.017063774168491364	0.00040216732304543257	0.0004371980612631887	8.789347702986561e-07	0.0760725662112236	0.0005166423507034779	0.0004903426743112504	0.32633042335510254	4.193724123524589e-07
8	8	contig_9	11927	2	chromosome.unclassified	0.0005078616086393595	0.0165762510150671	0.44878947734832764	0.0014151447685435414	0.009559196420013905	0.0008008464355953038	9.004877028928604e-06	8.106729183054995e-06	0.17506985366344452	0.00013190055324230343	0.0011313678696751595	0.021705836057662964	4.71072671643924e-05	0.24832963943481445	0.0019854845013469458	2.70110340352403e-05	0.001179618644528091	0.0035680048167705536	1.2983357919438276e-05	0.039789989590644836	4.1804287320701405e-05	3.566597297322005e-05	8.860370144248009e-07	0.00419548200443387	0.00015033221279736608	0.00031517690513283014	0.02461325377225876	2.7414134819991887e-06
9	9	contig_10	11376	13	chromosome.unclassified	0.0028111462015658617	0.009089035913348198	0.18895751237869263	0.0006349348113872111	0.025024520233273506	0.015028956346213818	1.5513844118686393e-05	0.0006643530796281993	0.0003218511410523206	4.957479904987849e-05	0.0004639575199689716	0.013853069394826889	6.06414869253058e-05	0.6368164420127869	0.04158953204751015	5.696392122445104e-07	0.0002476024383213371	0.005856650415807962	1.7939995586857549e-06	0.03305763378739357	5.094765583635308e-06	6.672612016700441e-06	1.3004322681808844e-05	2.1748506640051346e-07	5.02417933603283e-05	0.00012405496090650558	0.02525544911623001	7.3792971733155355e-09
